Year,Quarter,Month,Day,Category,Sum of Sales
2015,Qtr 1,March,30,Furniture,332.968
2015,Qtr 1,March,30,Office Supplies,585.41
2015,Qtr 1,March,30,Technology,251.944
2015,Qtr 1,March,31,Furniture,1125.488
2015,Qtr 1,March,31,Office Supplies,754.08
2015,Qtr 1,March,31,Technology,79.984
2015,Qtr 2,April,1,Office Supplies,119.888
2015,Qtr 2,April,2,Furniture,177.68
2015,Qtr 2,April,2,Office Supplies,230.948
2015,Qtr 2,April,2,Technology,1049.93
2015,Qtr 2,April,4,Furniture,5.47
2015,Qtr 2,April,4,Office Supplies,370.394
2015,Qtr 2,April,4,Technology,99.98
2015,Qtr 2,April,5,Office Supplies,5150.748
2015,Qtr 2,April,5,Technology,28.99
2015,Qtr 2,April,6,Furniture,933.384
2015,Qtr 2,April,6,Office Supplies,266.652
2015,Qtr 2,April,6,Technology,450.654
2015,Qtr 2,April,7,Furniture,8.96
2015,Qtr 2,April,7,Office Supplies,181.29
2015,Qtr 2,April,7,Technology,830.92
2015,Qtr 2,April,8,Furniture,1487.622
2015,Qtr 2,April,8,Office Supplies,71.168
2015,Qtr 2,April,8,Technology,399.96
2015,Qtr 2,April,11,Office Supplies,113.944
2015,Qtr 2,April,11,Technology,1801.296
2015,Qtr 2,April,12,Furniture,308.499
2015,Qtr 2,April,12,Office Supplies,50.488
2015,Qtr 2,April,12,Technology,1513.456
2015,Qtr 2,April,13,Office Supplies,566.648
2015,Qtr 2,April,13,Technology,71.928
2015,Qtr 2,April,15,Furniture,187.76
2015,Qtr 2,April,15,Office Supplies,106.96
2015,Qtr 2,April,16,Office Supplies,39.072
2015,Qtr 2,April,18,Furniture,317.058
2015,Qtr 2,April,18,Office Supplies,187.53
2015,Qtr 2,April,18,Technology,515.944
2015,Qtr 2,April,19,Furniture,76.14
2015,Qtr 2,April,19,Office Supplies,129.33
2015,Qtr 2,April,20,Furniture,1205.61
2015,Qtr 2,April,20,Office Supplies,44.84
2015,Qtr 2,April,21,Office Supplies,845.36
2015,Qtr 2,April,22,Office Supplies,257.752
2015,Qtr 2,April,23,Furniture,585.08
2015,Qtr 2,April,23,Office Supplies,58.9
2015,Qtr 2,April,25,Furniture,1790.29
2015,Qtr 2,April,25,Office Supplies,287.328
2015,Qtr 2,April,25,Technology,302.376
2015,Qtr 2,April,26,Furniture,230.28
2015,Qtr 2,April,26,Office Supplies,52.288
2015,Qtr 2,April,28,Office Supplies,738.536
2015,Qtr 2,April,28,Technology,1839.94
2015,Qtr 2,April,29,Furniture,631.004
2015,Qtr 2,April,29,Office Supplies,117.86
2015,Qtr 2,April,29,Technology,19.98
2015,Qtr 2,April,30,Office Supplies,1000.95
2015,Qtr 2,April,30,Technology,47.79
2015,Qtr 2,May,2,Office Supplies,26.136
2015,Qtr 2,May,2,Technology,479.984
2015,Qtr 2,May,3,Office Supplies,72.632
2015,Qtr 2,May,4,Furniture,39.64
2015,Qtr 2,May,4,Office Supplies,147.792
2015,Qtr 2,May,5,Furniture,127.869
2015,Qtr 2,May,5,Office Supplies,133.108
2015,Qtr 2,May,6,Office Supplies,254.456
2015,Qtr 2,May,7,Furniture,1066.57
2015,Qtr 2,May,7,Office Supplies,24.78
2015,Qtr 2,May,8,Technology,1799.97
2015,Qtr 2,May,9,Office Supplies,158.71
2015,Qtr 2,May,9,Technology,235.77
2015,Qtr 2,May,10,Furniture,606.749
2015,Qtr 2,May,10,Office Supplies,261.45
2015,Qtr 2,May,10,Technology,1475.6
2015,Qtr 2,May,11,Furniture,1279.072
2015,Qtr 2,May,11,Office Supplies,157.962
2015,Qtr 2,May,11,Technology,205.768
2015,Qtr 2,May,12,Furniture,734.846
2015,Qtr 2,May,13,Furniture,279.456
2015,Qtr 2,May,13,Office Supplies,468.956
2015,Qtr 2,May,13,Technology,149.97
2015,Qtr 2,May,14,Furniture,310.88
2015,Qtr 2,May,16,Furniture,232.88
2015,Qtr 2,May,16,Technology,56.4
2015,Qtr 2,May,17,Office Supplies,91.68
2015,Qtr 2,May,18,Furniture,149.232
2015,Qtr 2,May,18,Office Supplies,15.936
2015,Qtr 2,May,18,Technology,779.796
2015,Qtr 2,May,19,Office Supplies,91.62
2015,Qtr 2,May,20,Furniture,150.192
2015,Qtr 2,May,20,Office Supplies,149.128
2015,Qtr 2,May,20,Technology,20.784
2015,Qtr 2,May,21,Furniture,107.772
2015,Qtr 2,May,21,Office Supplies,3538.586
2015,Qtr 2,May,21,Technology,617.97
2015,Qtr 2,May,22,Technology,180.93
2015,Qtr 2,May,23,Office Supplies,268.57
2015,Qtr 2,May,23,Technology,55.188
2015,Qtr 2,May,24,Office Supplies,116.28
2015,Qtr 2,May,25,Furniture,29.32
2015,Qtr 2,May,25,Office Supplies,90.22
2015,Qtr 2,May,26,Furniture,875.734
2015,Qtr 2,May,26,Office Supplies,164.416
2015,Qtr 2,May,26,Technology,285.568
2015,Qtr 2,May,27,Furniture,567.12
2015,Qtr 2,May,27,Office Supplies,376.78
2015,Qtr 2,May,27,Technology,1213.494
2015,Qtr 2,May,28,Office Supplies,136.96
2015,Qtr 2,May,28,Technology,85.008
2015,Qtr 2,May,30,Furniture,355.455
2015,Qtr 2,May,30,Office Supplies,385.482
2015,Qtr 2,May,30,Technology,1183.976
2015,Qtr 2,May,31,Technology,773.7
2015,Qtr 2,June,1,Furniture,2024.06
2015,Qtr 2,June,1,Office Supplies,2282.53
2015,Qtr 2,June,1,Technology,881.93
2015,Qtr 2,June,2,Furniture,73.32
2015,Qtr 2,June,2,Office Supplies,425.308
2015,Qtr 2,June,2,Technology,239.97
2015,Qtr 2,June,3,Furniture,515.88
2015,Qtr 2,June,3,Office Supplies,15.28
2015,Qtr 2,June,4,Furniture,424.488
2015,Qtr 2,June,4,Office Supplies,31.784
2015,Qtr 2,June,6,Furniture,991.764
2015,Qtr 2,June,6,Office Supplies,382.237
2015,Qtr 2,June,7,Furniture,268.935
2015,Qtr 2,June,7,Office Supplies,12.462
2015,Qtr 2,June,8,Furniture,755.904
2015,Qtr 2,June,8,Office Supplies,1745.36
2015,Qtr 2,June,9,Furniture,3233.744
2015,Qtr 2,June,9,Office Supplies,338.712
2015,Qtr 2,June,9,Technology,1890.552
2015,Qtr 2,June,10,Office Supplies,491.55
2015,Qtr 2,June,13,Office Supplies,14.52
2015,Qtr 2,June,14,Furniture,212.94
2015,Qtr 2,June,15,Furniture,897.862
2015,Qtr 2,June,15,Office Supplies,45.112
2015,Qtr 2,June,16,Furniture,647.84
2015,Qtr 2,June,16,Office Supplies,115.952
2015,Qtr 2,June,17,Furniture,6.24
2015,Qtr 2,June,17,Office Supplies,3284.276
2015,Qtr 2,June,17,Technology,65.97
2015,Qtr 2,June,18,Technology,139.8
2015,Qtr 2,June,20,Furniture,193.0656
2015,Qtr 2,June,20,Office Supplies,1015.5
2015,Qtr 2,June,20,Technology,620.384
2015,Qtr 2,June,21,Furniture,107.994
2015,Qtr 2,June,21,Office Supplies,255.92
2015,Qtr 2,June,21,Technology,3743.529
2015,Qtr 2,June,22,Furniture,1023.988
2015,Qtr 2,June,22,Office Supplies,671.976
2015,Qtr 2,June,22,Technology,279.534
2015,Qtr 2,June,23,Office Supplies,23.12
2015,Qtr 2,June,23,Technology,86.376
2015,Qtr 2,June,24,Furniture,4.272
2015,Qtr 2,June,25,Furniture,447.84
2015,Qtr 2,June,25,Office Supplies,80.96
2015,Qtr 2,June,25,Technology,263.96
2015,Qtr 2,June,27,Furniture,85.98
2015,Qtr 2,June,27,Office Supplies,306.2
2015,Qtr 2,June,27,Technology,223.96
2015,Qtr 2,June,28,Furniture,1228.465
2015,Qtr 2,June,28,Office Supplies,417.326
2015,Qtr 2,June,29,Office Supplies,46.68
2015,Qtr 2,June,30,Office Supplies,739.624
2015,Qtr 3,July,1,Office Supplies,25.104
2015,Qtr 3,July,1,Technology,575.92
2015,Qtr 3,July,2,Office Supplies,5.58
2015,Qtr 3,July,2,Technology,73.98
2015,Qtr 3,July,4,Office Supplies,247.408
2015,Qtr 3,July,5,Furniture,232.736
2015,Qtr 3,July,5,Office Supplies,731.398
2015,Qtr 3,July,5,Technology,479.97
2015,Qtr 3,July,6,Furniture,478.48
2015,Qtr 3,July,6,Technology,559.992
2015,Qtr 3,July,7,Furniture,241.194
2015,Qtr 3,July,8,Furniture,566.37
2015,Qtr 3,July,8,Office Supplies,196.704
2015,Qtr 3,July,9,Furniture,119.833
2015,Qtr 3,July,9,Office Supplies,145.688
2015,Qtr 3,July,11,Furniture,979.05
2015,Qtr 3,July,11,Office Supplies,269.368
2015,Qtr 3,July,11,Technology,773.938
2015,Qtr 3,July,12,Furniture,1333.846
2015,Qtr 3,July,12,Office Supplies,346.39
2015,Qtr 3,July,12,Technology,279.776
2015,Qtr 3,July,13,Furniture,351.216
2015,Qtr 3,July,14,Furniture,31.984
2015,Qtr 3,July,14,Office Supplies,184.856
2015,Qtr 3,July,14,Technology,75.754
2015,Qtr 3,July,15,Office Supplies,6.54
2015,Qtr 3,July,15,Technology,2.97
2015,Qtr 3,July,18,Furniture,259.136
2015,Qtr 3,July,18,Office Supplies,13.904
2015,Qtr 3,July,19,Furniture,70.56
2015,Qtr 3,July,19,Office Supplies,30.786
2015,Qtr 3,July,19,Technology,359.98
2015,Qtr 3,July,20,Furniture,1041.132
2015,Qtr 3,July,20,Office Supplies,1202.714
2015,Qtr 3,July,20,Technology,41.94
2015,Qtr 3,July,21,Furniture,1732.346
2015,Qtr 3,July,21,Office Supplies,193.156
2015,Qtr 3,July,21,Technology,35.98
2015,Qtr 3,July,22,Furniture,888.072
2015,Qtr 3,July,22,Office Supplies,300.292
2015,Qtr 3,July,22,Technology,159.98
2015,Qtr 3,July,23,Office Supplies,58.1
2015,Qtr 3,July,23,Technology,2555.084
2015,Qtr 3,July,25,Furniture,77.92
2015,Qtr 3,July,25,Office Supplies,8263.37
2015,Qtr 3,July,26,Furniture,919.448
2015,Qtr 3,July,26,Office Supplies,2494.526
2015,Qtr 3,July,26,Technology,1626.02
2015,Qtr 3,July,27,Office Supplies,342.06
2015,Qtr 3,July,27,Technology,238
2015,Qtr 3,July,28,Furniture,129.888
2015,Qtr 3,July,28,Office Supplies,63.264
2015,Qtr 3,July,30,Furniture,1367.84
2015,Qtr 3,August,1,Furniture,44.128
2015,Qtr 3,August,1,Office Supplies,184.2
2015,Qtr 3,August,2,Office Supplies,865.08
2015,Qtr 3,August,2,Technology,21.2
2015,Qtr 3,August,3,Furniture,218.75
2015,Qtr 3,August,3,Office Supplies,259.244
2015,Qtr 3,August,4,Office Supplies,2087.774
2015,Qtr 3,August,4,Technology,655.38
2015,Qtr 3,August,5,Furniture,1962.724
2015,Qtr 3,August,5,Office Supplies,293.65
2015,Qtr 3,August,5,Technology,152.35
2015,Qtr 3,August,6,Technology,262.89
2015,Qtr 3,August,8,Furniture,658.472
2015,Qtr 3,August,8,Office Supplies,705.275
2015,Qtr 3,August,8,Technology,2591.882
2015,Qtr 3,August,9,Office Supplies,2116.965
2015,Qtr 3,August,9,Technology,1488.72
2015,Qtr 3,August,11,Furniture,12.35
2015,Qtr 3,August,11,Office Supplies,439.27
2015,Qtr 3,August,12,Furniture,85.44
2015,Qtr 3,August,12,Office Supplies,495.026
2015,Qtr 3,August,12,Technology,965.264
2015,Qtr 3,August,15,Office Supplies,337.5
2015,Qtr 3,August,16,Furniture,853.092
2015,Qtr 3,August,17,Office Supplies,160.382
2015,Qtr 3,August,17,Technology,339.96
2015,Qtr 3,August,19,Furniture,928.06
2015,Qtr 3,August,19,Office Supplies,511.046
2015,Qtr 3,August,20,Furniture,921.612
2015,Qtr 3,August,20,Office Supplies,917.11
2015,Qtr 3,August,22,Office Supplies,23.104
2015,Qtr 3,August,23,Furniture,4.224
2015,Qtr 3,August,23,Office Supplies,417.36
2015,Qtr 3,August,23,Technology,143.64
2015,Qtr 3,August,24,Furniture,13.28
2015,Qtr 3,August,24,Office Supplies,46.46
2015,Qtr 3,August,25,Furniture,6.28
2015,Qtr 3,August,25,Office Supplies,342.326
2015,Qtr 3,August,25,Technology,1103.044
2015,Qtr 3,August,26,Furniture,10.68
2015,Qtr 3,August,26,Office Supplies,29.36
2015,Qtr 3,August,26,Technology,326.77
2015,Qtr 3,August,27,Furniture,1232.06
2015,Qtr 3,August,27,Office Supplies,44.64
2015,Qtr 3,August,27,Technology,793.43
2015,Qtr 3,August,29,Furniture,174.0585
2015,Qtr 3,August,29,Office Supplies,658.264
2015,Qtr 3,August,30,Office Supplies,121.24
2015,Qtr 3,August,31,Technology,92.52
2015,Qtr 3,September,1,Office Supplies,112.436
2015,Qtr 3,September,1,Technology,357
2015,Qtr 3,September,2,Furniture,70.71
2015,Qtr 3,September,2,Office Supplies,1907.81
2015,Qtr 3,September,2,Technology,1275.63
2015,Qtr 3,September,3,Office Supplies,22.08
2015,Qtr 3,September,5,Furniture,31.984
2015,Qtr 3,September,5,Office Supplies,264.32
2015,Qtr 3,September,6,Furniture,41.88
2015,Qtr 3,September,6,Office Supplies,58.48
2015,Qtr 3,September,7,Furniture,1714.593
2015,Qtr 3,September,7,Office Supplies,651.076
2015,Qtr 3,September,7,Technology,1158.206
2015,Qtr 3,September,8,Furniture,3855.444
2015,Qtr 3,September,8,Office Supplies,1692.256
2015,Qtr 3,September,8,Technology,8680.728
2015,Qtr 3,September,9,Furniture,864.024
2015,Qtr 3,September,9,Office Supplies,1679.354
2015,Qtr 3,September,9,Technology,1500.21
2015,Qtr 3,September,10,Furniture,1741.94
2015,Qtr 3,September,10,Office Supplies,113.288
2015,Qtr 3,September,11,Furniture,127.95
2015,Qtr 3,September,12,Furniture,3825.852
2015,Qtr 3,September,12,Office Supplies,936.202
2015,Qtr 3,September,12,Technology,142.606
2015,Qtr 3,September,13,Furniture,354.306
2015,Qtr 3,September,13,Office Supplies,206.162
2015,Qtr 3,September,13,Technology,714.94
2015,Qtr 3,September,14,Furniture,629.78
2015,Qtr 3,September,14,Office Supplies,1289.016
2015,Qtr 3,September,14,Technology,3104.92
2015,Qtr 3,September,15,Furniture,118.496
2015,Qtr 3,September,15,Office Supplies,14.94
2015,Qtr 3,September,16,Office Supplies,33.552
2015,Qtr 3,September,17,Furniture,35.34
2015,Qtr 3,September,17,Office Supplies,651.354
2015,Qtr 3,September,17,Technology,133.829
2015,Qtr 3,September,19,Furniture,961.018
2015,Qtr 3,September,19,Office Supplies,172.694
2015,Qtr 3,September,19,Technology,8204.925
2015,Qtr 3,September,20,Furniture,3071.64
2015,Qtr 3,September,20,Office Supplies,213.368
2015,Qtr 3,September,20,Technology,2050.96
2015,Qtr 3,September,21,Furniture,8.544
2015,Qtr 3,September,21,Office Supplies,384.77
2015,Qtr 3,September,21,Technology,2286.338
2015,Qtr 3,September,22,Furniture,676.968
2015,Qtr 3,September,22,Office Supplies,563.298
2015,Qtr 3,September,23,Furniture,435.999
2015,Qtr 3,September,23,Office Supplies,10142.354
2015,Qtr 3,September,23,Technology,83.984
2015,Qtr 3,September,24,Office Supplies,211.96
2015,Qtr 3,September,25,Furniture,300.5328
2015,Qtr 3,September,25,Office Supplies,54.356
2015,Qtr 3,September,26,Furniture,752.304
2015,Qtr 3,September,26,Office Supplies,571.334
2015,Qtr 3,September,26,Technology,3.152
2015,Qtr 3,September,27,Furniture,691.46
2015,Qtr 3,September,27,Office Supplies,81.98
2015,Qtr 3,September,28,Furniture,337.088
2015,Qtr 3,September,28,Office Supplies,153.204
2015,Qtr 3,September,29,Furniture,3153.388
2015,Qtr 3,September,29,Office Supplies,4269.362
2015,Qtr 3,September,29,Technology,686.32
2015,Qtr 3,September,30,Furniture,15.24
2015,Qtr 3,September,30,Office Supplies,972.292
2015,Qtr 4,October,1,Office Supplies,4.71
2015,Qtr 4,October,2,Office Supplies,42.208
2015,Qtr 4,October,2,Technology,555.936
2015,Qtr 4,October,3,Furniture,555.839
2015,Qtr 4,October,3,Office Supplies,164.356
2015,Qtr 4,October,3,Technology,142.488
2015,Qtr 4,October,4,Furniture,589.41
2015,Qtr 4,October,4,Office Supplies,139.338
2015,Qtr 4,October,5,Office Supplies,91.92
2015,Qtr 4,October,5,Technology,99.98
2015,Qtr 4,October,6,Office Supplies,485.62
2015,Qtr 4,October,6,Technology,9.09
2015,Qtr 4,October,7,Furniture,129.92
2015,Qtr 4,October,7,Office Supplies,107.44
2015,Qtr 4,October,8,Office Supplies,123.92
2015,Qtr 4,October,8,Technology,23.472
2015,Qtr 4,October,9,Office Supplies,233.368
2015,Qtr 4,October,9,Technology,15.992
2015,Qtr 4,October,10,Furniture,169.224
2015,Qtr 4,October,10,Office Supplies,302.272
2015,Qtr 4,October,10,Technology,1577.89
2015,Qtr 4,October,11,Furniture,505.958
2015,Qtr 4,October,11,Office Supplies,530.206
2015,Qtr 4,October,11,Technology,345
2015,Qtr 4,October,12,Office Supplies,58.53
2015,Qtr 4,October,13,Furniture,1544.53
2015,Qtr 4,October,13,Office Supplies,618.912
2015,Qtr 4,October,13,Technology,48.74
2015,Qtr 4,October,14,Furniture,1628.82
2015,Qtr 4,October,14,Office Supplies,719.704
2015,Qtr 4,October,14,Technology,2176.96
2015,Qtr 4,October,15,Furniture,198.756
2015,Qtr 4,October,15,Office Supplies,7.968
2015,Qtr 4,October,16,Office Supplies,14.352
2015,Qtr 4,October,16,Technology,179.97
2015,Qtr 4,October,17,Furniture,5.312
2015,Qtr 4,October,17,Office Supplies,10.78
2015,Qtr 4,October,17,Technology,119.976
2015,Qtr 4,October,18,Furniture,1151.22
2015,Qtr 4,October,18,Office Supplies,588.746
2015,Qtr 4,October,18,Technology,1394.95
2015,Qtr 4,October,19,Office Supplies,201.976
2015,Qtr 4,October,19,Technology,439.128
2015,Qtr 4,October,20,Furniture,328.59
2015,Qtr 4,October,20,Office Supplies,852.546
2015,Qtr 4,October,20,Technology,319.968
2015,Qtr 4,October,21,Furniture,1000.91
2015,Qtr 4,October,21,Office Supplies,355.692
2015,Qtr 4,October,22,Furniture,223.808
2015,Qtr 4,October,24,Office Supplies,56.49
2015,Qtr 4,October,25,Office Supplies,63.106
2015,Qtr 4,October,25,Technology,40.776
2015,Qtr 4,October,26,Furniture,63.92
2015,Qtr 4,October,26,Technology,383.96
2015,Qtr 4,October,27,Office Supplies,22.32
2015,Qtr 4,October,28,Furniture,616.998
2015,Qtr 4,October,28,Office Supplies,635.604
2015,Qtr 4,October,28,Technology,257.98
2015,Qtr 4,October,29,Office Supplies,75.88
2015,Qtr 4,October,29,Technology,2737.932
2015,Qtr 4,October,31,Furniture,3591.032
2015,Qtr 4,October,31,Office Supplies,703.164
2015,Qtr 4,October,31,Technology,1067.83
2015,Qtr 4,November,1,Furniture,31.68
2015,Qtr 4,November,1,Office Supplies,1487.352
2015,Qtr 4,November,1,Technology,3118.784
2015,Qtr 4,November,2,Furniture,89.34
2015,Qtr 4,November,2,Office Supplies,417.022
2015,Qtr 4,November,2,Technology,1620.008
2015,Qtr 4,November,3,Furniture,1355.388
2015,Qtr 4,November,3,Office Supplies,554.845
2015,Qtr 4,November,3,Technology,873.93
2015,Qtr 4,November,4,Furniture,744.95
2015,Qtr 4,November,4,Office Supplies,206.566
2015,Qtr 4,November,4,Technology,5742.232
2015,Qtr 4,November,5,Furniture,443.508
2015,Qtr 4,November,5,Office Supplies,1093.29
2015,Qtr 4,November,5,Technology,157.766
2015,Qtr 4,November,7,Furniture,683.144
2015,Qtr 4,November,7,Office Supplies,619.31
2015,Qtr 4,November,8,Technology,333.576
2015,Qtr 4,November,9,Furniture,279.186
2015,Qtr 4,November,9,Office Supplies,590.94
2015,Qtr 4,November,9,Technology,703.968
2015,Qtr 4,November,10,Furniture,657.02
2015,Qtr 4,November,10,Office Supplies,733.01
2015,Qtr 4,November,10,Technology,612.526
2015,Qtr 4,November,11,Furniture,2071.424
2015,Qtr 4,November,11,Office Supplies,4137.856
2015,Qtr 4,November,11,Technology,1627.698
2015,Qtr 4,November,12,Furniture,697.0572
2015,Qtr 4,November,12,Office Supplies,125.08
2015,Qtr 4,November,12,Technology,79.512
2015,Qtr 4,November,14,Furniture,69.264
2015,Qtr 4,November,14,Office Supplies,132.536
2015,Qtr 4,November,14,Technology,832.93
2015,Qtr 4,November,15,Furniture,10.11
2015,Qtr 4,November,15,Office Supplies,998.242
2015,Qtr 4,November,15,Technology,772.47
2015,Qtr 4,November,16,Furniture,343.2705
2015,Qtr 4,November,16,Office Supplies,658.73
2015,Qtr 4,November,16,Technology,353.928
2015,Qtr 4,November,17,Furniture,5270.08
2015,Qtr 4,November,17,Office Supplies,6174.214
2015,Qtr 4,November,17,Technology,99.98
2015,Qtr 4,November,18,Furniture,2191.732
2015,Qtr 4,November,18,Office Supplies,665.571
2015,Qtr 4,November,18,Technology,549.552
2015,Qtr 4,November,19,Furniture,1025.88
2015,Qtr 4,November,19,Office Supplies,639.02
2015,Qtr 4,November,19,Technology,5561.186
2015,Qtr 4,November,20,Office Supplies,73.62
2015,Qtr 4,November,20,Technology,833.94
2015,Qtr 4,November,21,Office Supplies,849.682
2015,Qtr 4,November,21,Technology,399.94
2015,Qtr 4,November,22,Office Supplies,1103.298
2015,Qtr 4,November,23,Furniture,1147.1
2015,Qtr 4,November,23,Office Supplies,180.646
2015,Qtr 4,November,23,Technology,35.534
2015,Qtr 4,November,24,Furniture,1029.808
2015,Qtr 4,November,24,Office Supplies,1878.92
2015,Qtr 4,November,24,Technology,2664.136
2015,Qtr 4,November,25,Furniture,2302.967
2015,Qtr 4,November,25,Office Supplies,1548.136
2015,Qtr 4,November,25,Technology,564.592
2015,Qtr 4,November,26,Furniture,19.3
2015,Qtr 4,November,26,Office Supplies,968.394
2015,Qtr 4,November,26,Technology,718.296
2015,Qtr 4,November,27,Furniture,199.9
2015,Qtr 4,November,27,Office Supplies,3.76
2015,Qtr 4,November,28,Furniture,808.932
2015,Qtr 4,November,28,Office Supplies,333.118
2015,Qtr 4,November,28,Technology,1138.78
2015,Qtr 4,November,29,Office Supplies,73.124
2015,Qtr 4,November,29,Technology,575.92
2015,Qtr 4,November,30,Office Supplies,116.914
2015,Qtr 4,November,30,Technology,102.24
2015,Qtr 4,December,1,Furniture,4513.606
2015,Qtr 4,December,1,Office Supplies,82.928
2015,Qtr 4,December,1,Technology,1027.856
2015,Qtr 4,December,2,Furniture,1282.8
2015,Qtr 4,December,2,Office Supplies,243.298
