Sum of Sales,Order Date,forecastValue,confidenceHighBound,confidenceLowBound
,2019-01-28 00:00:00,2271.679183547889,10629.606642146724,'-6086.248275050946
,2019-01-29 00:00:00,1006.6955555030506,9459.269721171431,'-7445.8786101653295
,2019-01-30 00:00:00,296.1273804002303,8842.30012900815,'-8250.04536820769
,2019-01-31 00:00:00,'-2543.377961457117,6095.379314446214,'-11182.13523736045
,2019-02-01 00:00:00,1388.3617612752137,10118.721770741999,'-7341.998248191572
,2019-02-02 00:00:00,5029.960966860779,13850.972502836741,'-3791.050569115183
,2019-02-03 00:00:00,2238.089421995233,11148.830308181135,'-6672.651464190669
,2019-02-04 00:00:00,2271.679183547889,11271.960555600583,'-6728.602188504805
,2019-02-05 00:00:00,1006.6955555030506,10094.936496358592,'-8081.5453853524905
,2019-02-06 00:00:00,296.1273804002303,9471.484704339553,'-8879.229943539092
,2019-02-07 00:00:00,'-2543.377961457117,6718.276353236941,'-11805.032276151176
,2019-02-08 00:00:00,1388.3617612752137,10735.516369380033,'-7958.792846829607
,2019-02-09 00:00:00,5029.960966860779,14461.840837318168,'-4401.91890359661
,2019-02-10 00:00:00,2238.089421995233,11753.940225452769,'-7277.761381462302
,2019-02-11 00:00:00,2271.679183547889,11871.428042191901,'-7328.069675096123
,2019-02-12 00:00:00,1006.6955555030506,10688.959586811077,'-8675.568475804976
,2019-02-13 00:00:00,296.1273804002303,10060.20928270345,'-9467.95452190299
,2019-02-14 00:00:00,'-2543.377961457117,7301.841894788318,'-12388.597817702554
,2019-02-15 00:00:00,1388.3617612752137,11314.056328444482,'-8537.332805894055
,2019-02-16 00:00:00,5029.960966860779,15035.48300539818,'-4975.561071676622
,2019-02-17 00:00:00,2238.089421995233,12322.807062394579,'-7846.628218404112
,2019-02-18 00:00:00,2271.679183547889,12435.600253782317,'-7892.241886686539
,2019-02-19 00:00:00,1006.6955555030506,11248.5874776471,'-9235.196366640997
,2019-02-20 00:00:00,296.1273804002303,10615.40103544997,'-10023.146274649509
,2019-02-21 00:00:00,'-2543.377961457117,7852.701462572295,'-12939.45738548653
,2019-02-22 00:00:00,1388.3617612752137,11860.683663014666,'-9083.96014046424
,2019-02-23 00:00:00,5029.960966860779,15577.974269685912,'-5518.052335964354
,2019-02-24 00:00:00,2238.089421995233,12861.254828760773,'-8385.075984770307
,2019-02-25 00:00:00,2271.679183547889,12970.062467711608,'-8426.70410061583
,2019-02-26 00:00:00,1006.6955555030506,11779.181968481153,'-9765.79085747505
,2019-02-27 00:00:00,296.1273804002303,11142.210643068,'-10549.955882267539
,2019-02-28 00:00:00,'-2543.377961457117,8375.806108959776,'-13462.562031874011
,2019-03-01 00:00:00,1388.3617612752137,12380.16049426565,'-9603.436971715224
,2019-03-02 00:00:00,5029.960966860779,16093.897789235278,'-6033.97585551372
,2019-03-03 00:00:00,2238.089421995233,13373.69702249995,'-8897.518178509483
,2019-03-04 00:00:00,2271.679183547889,13479.06595602041,'-8935.707588924632
,2019-03-05 00:00:00,1006.6955555030506,12284.841541910397,'-10271.450430904295
,2019-03-06 00:00:00,296.1273804002303,11644.591396012222,'-11052.336635211761
,2019-03-07 00:00:00,'-2543.377961457117,8874.971049523601,'-13961.726972437837
,2019-03-08 00:00:00,1388.3617612752137,12876.170636752227,'-10099.447114201801
,2019-03-09 00:00:00,5029.960966860779,16586.81224142569,'-6526.890307704132
,2019-03-10 00:00:00,2238.089421995233,13863.573068077952,'-9387.394224087486
,2019-03-11 00:00:00,2271.679183547889,13965.935536164345,'-9422.577169068567
,2019-03-12 00:00:00,1006.6955555030506,12768.782541392691,'-10755.39143038659
,2019-03-13 00:00:00,296.1273804002303,12125.656064441644,'-11533.401303641183
,2019-03-14 00:00:00,'-2543.377961457117,9353.21010023026,'-14439.966023144496
,2019-03-15 00:00:00,1388.3617612752137,13351.633309326222,'-10574.909786775796
,2019-03-16 00:00:00,5029.960966860779,17059.546361018423,'-6999.624427296865
,2019-03-17 00:00:00,2238.089421995233,14333.625101668747,'-9857.44625767828
,2019-03-18 00:00:00,2271.679183547889,14433.329771096796,'-9889.971404001019
,2019-03-19 00:00:00,1006.6955555030506,13233.584106420361,'-11220.19299541426
,2019-03-20 00:00:00,296.1273804002303,12587.907652577118,'-11995.652891776657
,2019-03-21 00:00:00,'-2543.377961457117,9812.953244948812,'-14899.709167863048
,2019-03-22 00:00:00,1388.3617612752137,13808.908428202765,'-11032.184905652339
,2019-03-23 00:00:00,5029.960966860779,17514.39279727458,'-7454.4708635530205
,2019-03-24 00:00:00,2238.089421995233,14786.081163751096,'-10309.90231976063
,2019-03-25 00:00:00,2271.679183547889,14883.414131069858,'-10340.05576397408
,2019-03-26 00:00:00,1006.6955555030506,13681.352040373602,'-11667.9609293675
,2019-03-27 00:00:00,296.1273804002303,13033.394576796607,'-12441.139815996146
,2019-03-28 00:00:00,'-2543.377961457117,10256.193681973742,'-15342.949604887977
,2019-03-29 00:00:00,1388.3617612752137,14249.93603809854,'-11473.212515548114
,2019-03-30 00:00:00,5029.960966860779,17953.24040751235,'-7893.31847379079
